TEAM_ID,TEAM_NAME,TEAM_CITY,TEAM_SLUG,YEAR_FOUNDED,"2020-2021 SALARY","2021-2022 SALARY","2022-2023 SALARY","2023-2024 SALARY","2024-2025 SALARY","2025-2026 SALARY","HOME WIN %","HOME LOSS %","AWAY WIN %","AWAY LOSS %","TOTAL WIN %","TOTAL LOSS %"
1610612737,"Atlanta Hawks",Atlanta,ATL,1949,118647000,95496100,59656900,18000000,0,0,0.62,0.38,0.37,0.63,0.49,0.51
1610612738,"Boston Celtics",Boston,BOS,1946,132033000,132078000,95626900,62027500,34844000,37092000,0.68,0.32,0.47,0.53,0.55,0.45
1610612739,"Cleveland Cavaliers",Cleveland,CLE,1970,128629000,90652400,46041600,6718840,0,0,0.57,0.43,0.34,0.66,0.45,0.56
1610612740,"New Orleans Pelicans","New Orleans",NOP,2002,133689000,91418200,68952400,33833400,36016200,0,0.54,0.46,0.37,0.63,0.49,0.51
1610612741,"Chicago Bulls",Chicago,CHI,1966,128964000,96304100,22000000,0,0,0,0.61,0.39,0.40,0.60,0.49,0.51
1610612742,"Dallas Mavericks",Dallas,DAL,1980,127508000,84970900,59071100,36016200,0,0,0.59,0.41,0.42,0.58,0.49,0.51
1610612743,"Denver Nuggets",Denver,DEN,1976,129184000,125136000,74392400,43634300,36016200,0,0.64,0.36,0.34,0.66,0.47,0.53
1610612744,"Golden State Warriors","Golden State",GSW,1946,170467000,160107000,101954000,70805700,0,0,0.59,0.41,0.39,0.61,0.53,0.47
1610612745,"Houston Rockets",Houston,HOU,1967,132837000,92796700,90368500,22848600,0,0,0.64,0.36,0.43,0.57,0.52,0.47
1610612746,"Los Angeles Clippers","Los Angeles",LAC,1970,138604000,144295000,80128600,77520100,48787800,0,0.53,0.47,0.32,0.68,0.43,0.56
1610612747,"Los Angeles Lakers","Los Angeles",LAL,1948,138327000,119995000,109460000,53600100,43219400,0,0.69,0.31,0.50,0.50,0.58,0.42
1610612748,"Miami Heat",Miami,MIA,1988,134303000,77829000,68001300,32596000,34844000,37092000,0.63,0.37,0.43,0.57,0.52,0.47
1610612749,"Milwaukee Bucks",Milwaukee,MIL,1968,135289000,143532000,135508000,122050000,87285300,51928800,0.63,0.37,0.41,0.59,0.51,0.50
1610612750,"Minnesota Timberwolves",Minnesota,MIN,1989,130280000,131266000,88301100,36016200,0,0,0.48,0.52,0.31,0.69,0.39,0.61
1610612751,"Brooklyn Nets",Brooklyn,BKN,1976,168854000,165982000,157168000,19928600,0,0,0.54,0.46,0.39,0.61,0.51,0.49
1610612752,"New York Knicks","New York",NYK,1946,97613700,48017400,0,0,0,0,0.58,0.42,0.36,0.64,0.44,0.55
1610612753,"Orlando Magic",Orlando,ORL,1989,121652000,101548000,45400000,34400000,17400000,0,0.57,0.43,0.37,0.63,0.47,0.53
1610612754,"Indiana Pacers",Indiana,IND,1976,129409000,116253000,84188700,19400000,0,0,0.63,0.37,0.37,0.63,0.49,0.51
1610612755,"Philadelphia 76ers",Philadelphia,PHI,1949,147402000,129160000,118760000,77163600,40338100,0,0.62,0.38,0.38,0.62,0.54,0.46
1610612757,"Portland Trail Blazers",Portland,POR,1970,131426000,131543000,83427800,86552500,54250000,0,0.66,0.34,0.40,0.60,0.52,0.49
1610612758,"Sacramento Kings",Sacramento,SAC,1948,105953000,100042000,69723000,51664200,34844000,37092000,0.57,0.43,0.30,0.70,0.46,0.55
1610612759,"San Antonio Spurs","San Antonio",SAS,1976,127903000,58174100,46555600,35821100,19321400,0,0.74,0.26,0.57,0.43,0.67,0.33
1610612760,"Oklahoma City Thunder","Oklahoma City",OKC,1967,91599900,49837700,35107300,1930680,0,0,0.65,0.35,0.51,0.49,0.63,0.38
1610612761,"Toronto Raptors",Toronto,TOR,1995,128542000,88847900,74055800,79360300,19928600,0,0.56,0.44,0.40,0.60,0.48,0.52
1610612762,"Utah Jazz",Utah,UTA,1974,136048000,130398000,120253000,96775000,78050600,83086100,0.69,0.31,0.46,0.54,0.60,0.40
1610612763,"Memphis Grizzlies",Memphis,MEM,1995,131564000,87045500,25732600,10400000,0,0,0.52,0.48,0.38,0.62,0.45,0.54
1610612764,"Washington Wizards",Washington,WAS,1961,131265000,120309000,100326000,17000000,16000000,0,0.56,0.44,0.33,0.67,0.45,0.56
1610612765,"Detroit Pistons",Detroit,DET,1948,116974000,103380000,35197500,2866670,2866670,0,0.59,0.41,0.35,0.65,0.45,0.54
1610612766,"Charlotte Hornets",Charlotte,CHA,1988,108219000,83125900,44614400,31500000,0,0,0.54,0.46,0.30,0.70,0.45,0.56
